x,y,z,timeStamp
-0.015625,-0.9991455078125,-0.0228729248046875,33111.969926875
-0.0068206787109375,-1.0,-0.017669677734375,33112.069230875
-0.0038604736328125,-1.00067138671875,-0.0189208984375,33112.168504875
-0.0041961669921875,-0.999893188476562,-0.0218658447265625,33112.267808875
-0.0062713623046875,-0.999130249023438,-0.0257110595703125,33112.367082875
-0.005615234375,-0.999542236328125,-0.024383544921875,33112.466379625
-0.0062103271484375,-0.99822998046875,-0.0234375,33112.565652625
-0.0053253173828125,-0.998077392578125,-0.02362060546875,33112.664957625
-0.005889892578125,-0.999267578125,-0.025115966796875,33112.764261625
-0.0048675537109375,-0.998641967773438,-0.023284912109375,33112.863535625
-0.0053558349609375,-0.9991455078125,-0.025115966796875,33112.962839625
-0.0057830810546875,-1.00041198730469,-0.0242767333984375,33113.062143625
-0.0052337646484375,-0.999557495117188,-0.02520751953125,33113.161447625
-0.005157470703125,-0.998306274414062,-0.0243072509765625,33113.260721625
-0.00390625,-1.00007629394531,-0.0254974365234375,33113.360025625
-0.00518798828125,-0.9986572265625,-0.0249481201171875,33113.45927525
-0.005401611328125,-0.999130249023438,-0.0258026123046875,33113.55857925
-0.004119873046875,-0.999313354492188,-0.0255889892578125,33113.65788325
-0.0049591064453125,-1.00186157226562,-0.0237274169921875,33113.75715725
-0.004730224609375,-1.0003662109375,-0.0256500244140625,33113.85646125
-0.0045318603515625,-0.998001098632812,-0.024383544921875,33113.95573525
-0.0044097900390625,-0.998748779296875,-0.0236053466796875,33114.05500825
-0.00518798828125,-0.998626708984375,-0.0272979736328125,33114.15431325
-0.007476806640625,-1.00062561035156,-0.0161895751953125,33114.25358625
-0.0078887939453125,-0.999832153320312,-0.0209503173828125,33114.35289025
-0.0006866455078125,-0.998214721679688,-0.0348968505859375,33114.452138125
0.0086212158203125,-1.00006103515625,-0.0229339599609375,33114.551412125
-0.0072174072265625,-1.00196838378906,-0.029541015625,33114.650685125
-0.0198211669921875,-0.994400024414062,-0.00811767578125,33114.749959125
0.0305023193359375,-1.0023193359375,0.020965576171875,33114.849263125
0.035919189453125,-0.993576049804688,0.0203094482421875,33114.948568125
